ANGLE | ANGLE_BIN |    SIN_FLOAT |  Q2.8_DEC |   Q2.8_BIN
  112 | 001110000 |   0.92718385 |       237 | 0011101101
  113 | 001110001 |   0.92050485 |       236 | 0011101100
  114 | 001110010 |   0.91354546 |       234 | 0011101010
  115 | 001110011 |   0.90630779 |       232 | 0011101000
  116 | 001110100 |   0.89879405 |       230 | 0011100110
  117 | 001110101 |   0.89100652 |       228 | 0011100100
  118 | 001110110 |   0.88294759 |       226 | 0011100010
  119 | 001110111 |   0.87461971 |       224 | 0011100000
  120 | 001111000 |   0.86602540 |       222 | 0011011110
  121 | 001111001 |   0.85716730 |       219 | 0011011011
  122 | 001111010 |   0.84804810 |       217 | 0011011001
  123 | 001111011 |   0.83867057 |       215 | 0011010111
  124 | 001111100 |   0.82903757 |       212 | 0011010100
  125 | 001111101 |   0.81915204 |       210 | 0011010010
  126 | 001111110 |   0.80901699 |       207 | 0011001111
  127 | 001111111 |   0.79863551 |       204 | 0011001100
  128 | 010000000 |   0.78801075 |       202 | 0011001010
  129 | 010000001 |   0.77714596 |       199 | 0011000111
  130 | 010000010 |   0.76604444 |       196 | 0011000100
  131 | 010000011 |   0.75470958 |       193 | 0011000001
  132 | 010000100 |   0.74314483 |       190 | 0010111110
  133 | 010000101 |   0.73135370 |       187 | 0010111011
  134 | 010000110 |   0.71933980 |       184 | 0010111000
  135 | 010000111 |   0.70710678 |       181 | 0010110101
  136 | 010001000 |   0.69465837 |       178 | 0010110010
  137 | 010001001 |   0.68199836 |       175 | 0010101111
  138 | 010001010 |   0.66913061 |       171 | 0010101011
  139 | 010001011 |   0.65605903 |       168 | 0010101000
  140 | 010001100 |   0.64278761 |       165 | 0010100101
  141 | 010001101 |   0.62932039 |       161 | 0010100001
  142 | 010001110 |   0.61566148 |       158 | 0010011110
  143 | 010001111 |   0.60181502 |       154 | 0010011010
  144 | 010010000 |   0.58778525 |       150 | 0010010110
  145 | 010010001 |   0.57357644 |       147 | 0010010011
  146 | 010010010 |   0.55919290 |       143 | 0010001111
  147 | 010010011 |   0.54463904 |       139 | 0010001011
  148 | 010010100 |   0.52991926 |       136 | 0010001000
  149 | 010010101 |   0.51503807 |       132 | 0010000100
  150 | 010010110 |   0.50000000 |       128 | 0010000000
  151 | 010010111 |   0.48480962 |       124 | 0001111100
  152 | 010011000 |   0.46947156 |       120 | 0001111000
  153 | 010011001 |   0.45399050 |       116 | 0001110100
  154 | 010011010 |   0.43837115 |       112 | 0001110000
  155 | 010011011 |   0.42261826 |       108 | 0001101100
  156 | 010011100 |   0.40673664 |       104 | 0001101000
  157 | 010011101 |   0.39073113 |       100 | 0001100100
  158 | 010011110 |   0.37460659 |        96 | 0001100000
  159 | 010011111 |   0.35836795 |        92 | 0001011100
  160 | 010100000 |   0.34202014 |        88 | 0001011000
  161 | 010100001 |   0.32556815 |        83 | 0001010011
  162 | 010100010 |   0.30901699 |        79 | 0001001111
  163 | 010100011 |   0.29237170 |        75 | 0001001011
  164 | 010100100 |   0.27563736 |        71 | 0001000111
  165 | 010100101 |   0.25881905 |        66 | 0001000010
  166 | 010100110 |   0.24192190 |        62 | 0000111110
  167 | 010100111 |   0.22495105 |        58 | 0000111010
  168 | 010101000 |   0.20791169 |        53 | 0000110101
  169 | 010101001 |   0.19080900 |        49 | 0000110001
  170 | 010101010 |   0.17364818 |        44 | 0000101100
  171 | 010101011 |   0.15643447 |        40 | 0000101000
  172 | 010101100 |   0.13917310 |        36 | 0000100100
  173 | 010101101 |   0.12186934 |        31 | 0000011111
  174 | 010101110 |   0.10452846 |        27 | 0000011011
  175 | 010101111 |   0.08715574 |        22 | 0000010110
  176 | 010110000 |   0.06975647 |        18 | 0000010010
  177 | 010110001 |   0.05233596 |        13 | 0000001101
  178 | 010110010 |   0.03489950 |         9 | 0000001001
  179 | 010110011 |   0.01745241 |         4 | 0000000100
  180 | 010110100 |   0.00000000 |         0 | 0000000000
  181 | 010110101 |  -0.01745241 |        -4 | 1111111100
  182 | 010110110 |  -0.03489950 |        -9 | 1111110111
  183 | 010110111 |  -0.05233596 |       -13 | 1111110011
  184 | 010111000 |  -0.06975647 |       -18 | 1111101110
  185 | 010111001 |  -0.08715574 |       -22 | 1111101010
  186 | 010111010 |  -0.10452846 |       -27 | 1111100101
  187 | 010111011 |  -0.12186934 |       -31 | 1111100001
  188 | 010111100 |  -0.13917310 |       -36 | 1111011100
  189 | 010111101 |  -0.15643447 |       -40 | 1111011000
  190 | 010111110 |  -0.17364818 |       -44 | 1111010100
  191 | 010111111 |  -0.19080900 |       -49 | 1111001111
  192 | 011000000 |  -0.20791169 |       -53 | 1111001011
  193 | 011000001 |  -0.22495105 |       -58 | 1111000110
